GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Clybl,16.89579862,13.58506273,7.744684397,15.06826867,12.47041913,22.15865033,18.27632207,21.64257043,14.02490247,26.95844388,16.67679853,17.0906874,15.11164933,15.92790499,15.14625746
Fgf14,1.384901527,2.309460665,1.858724255,2.302096603,1.801282763,0.800915072,1.176198945,1.811936129,1.438451536,1.547853237,0.730370739,1.990011547,1.946197262,1.769767221,2.938826075
Farp1,13.57203496,14.67186775,6.660428582,15.90539471,14.13314168,9.21052333,13.84295681,20.43461301,12.58645094,16.6394223,11.92938873,11.94006928,13.39441645,13.60508551,9.607700629
Dock9,86.83332572,88.57460903,58.85960142,84.34044828,88.67853601,62.87183317,66.86238617,81.93977829,66.88799641,96.22487625,91.05288541,83.58048496,81.05339186,85.50187888,82.96532072
Tnrc6c,70.2145074,81.10282452,42.75065787,63.62157885,67.4788235,69.41263959,61.5242525,67.34362614,83.78980195,63.33299496,77.78448366,72.69395121,73.72653158,73.22411879,72.45336592
Tmc6,7.062997786,6.792531367,3.252767447,6.6970083,8.729293389,6.407320577,5.971471566,7.247744517,15.10374112,8.642180574,6.81679356,4.448261104,5.495145211,5.530522567,5.199461517
Tk1,8.309409159,8.830290777,3.872342199,9.83623094,10.94625679,7.341721495,5.609564198,8.455701937,19.41909573,5.933437409,10.95556108,11.35477177,8.013753433,9.180667461,11.19014544
Cant1,19.11164107,19.56249034,11.6170266,19.67246188,17.87426741,16.95270236,15.29058628,21.4412442,36.68051416,22.44387194,20.45038068,23.64601956,18.43163289,22.23270072,18.76327417
Cbx2,1.246411374,2.309460665,1.239149504,1.255689056,1.801282763,3.73760367,1.90001368,1.509946774,2.157677304,1.418865467,1.70419839,0.585297514,2.518608222,2.765261283,1.695476582
Cbx8,1.938862137,2.03775941,2.168511631,2.302096603,1.801282763,2.402745217,2.714305257,3.825198495,2.517290187,2.966718705,1.582469934,1.521773536,1.488268495,1.65915677,1.582444809
Gaa,141.6754262,142.6431587,87.51493369,140.0093298,114.4507355,147.1014016,166.2059586,147.4714683,165.0623137,121.6354669,140.8398241,135.6719637,133.8296823,143.6829763,140.837588
Eif4a3,16.34183801,13.31336148,11.46213291,17.16108377,14.96450295,20.95727772,19.90490522,23.25318033,47.10928779,22.44387194,18.01581155,16.62244939,16.37095344,17.47645131,16.16354341
Rptor,80.04730824,71.32157936,44.9191695,84.54972979,73.29835242,89.03505886,68.12906196,80.02717904,101.4108333,81.00431941,71.94151775,67.66039259,68.80379733,65.37077674,71.54911174
Pde8a,21.74295397,20.92099661,13.94043191,21.13743245,22.30819422,26.43019738,18.72870628,25.8704214,15.46335401,34.95568561,24.5891482,22.47542453,25.07160002,31.19214728,24.75395809
